"id","区分","チャンク","チャンク日本語訳","例文番号","英文","例文日本語訳","音声ファイル"
"008-02","日常","Do you mind if I …?","私が…しても構いませんか？","2","Do you mind if I borrow this chair for a minute?","","chunk-audio/008-02.mp3"
"008-03","ビジネス","Do you mind if I …?","私が…しても構いませんか？","3","Do you mind if I record the meeting for reference?","","chunk-audio/008-03.mp3"
"009-01","日常","Do you want me to …?","私が…しましょうか？","1","Do you want me to pick you up after work?","","chunk-audio/009-01.mp3"
"009-02","日常","Do you want me to …?","私が…しましょうか？","2","Do you want me to order food for everyone?","","chunk-audio/009-02.mp3"
"009-03","ビジネス","Do you want me to …?","私が…しましょうか？","3","Do you want me to prepare the first draft?","","chunk-audio/009-03.mp3"
"010-01","日常","May I …?","…してもよろしいでしょうか？","1","May I have your name, please?","","chunk-audio/010-01.mp3"
"010-02","ビジネス","May I …?","…してもよろしいでしょうか？","2","May I introduce myself first?","","chunk-audio/010-02.mp3"
"010-03","ビジネス","May I …?","…してもよろしいでしょうか？","3","May I add one point to the discussion?","","chunk-audio/010-03.mp3"
"011-01","日常","I’d like …","…をお願いします","1","I’d like a table for two, please.","","chunk-audio/011-01.mp3"
"011-02","日常","I’d like …","…をお願いします","2","I’d like the chicken, please.","","chunk-audio/011-02.mp3"
"011-03","ビジネス","I’d like …","…をお願いします","3","I’d like a little more information about the role.","","chunk-audio/011-03.mp3"
"012-01","日常","I’d like to …","…したいです","1","I’d like to make a reservation for tonight.","","chunk-audio/012-01.mp3"
"012-02","ビジネス","I’d like to …","…したいです","2","I’d like to confirm the delivery date.","","chunk-audio/012-02.mp3"
"012-03","ビジネス","I’d like to …","…したいです","3","I’d like to discuss this in more detail, if possible.","","chunk-audio/012-03.mp3"
"013-01","日常","I want to …","…したい","1","I want to try something different today.","","chunk-audio/013-01.mp3"
"013-02","日常","I want to …","…したい","2","I want to spend more time with my family.","","chunk-audio/013-02.mp3"
"013-03","ビジネス","I want to …","…したい","3","I want to make sure we understand the problem.","","chunk-audio/013-03.mp3"
"014-01","日常","I need to …","…する必要がある","1","I need to buy groceries after work.","","chunk-audio/014-01.mp3"
"014-02","日常","I need to …","…する必要がある","2","I need to call my doctor later.","","chunk-audio/014-02.mp3"
"014-03","ビジネス","I need to …","…する必要がある","3","I need to finish this report by Friday.","","chunk-audio/014-03.mp3"
"015-01","日常","I have to …","…しなければならない","1","I have to leave soon, unfortunately.","","chunk-audio/015-01.mp3"
"015-02","日常","I have to …","…しなければならない","2","I have to clean the kitchen tonight.","","chunk-audio/015-02.mp3"
"015-03","ビジネス","I have to …","…しなければならない","3","I have to join another meeting at three.","","chunk-audio/015-03.mp3"
"016-01","日常","I’m going to …","…する予定です","1","I’m going to visit my parents this weekend.","","chunk-audio/016-01.mp3"
"016-02","日常","I’m going to …","…する予定です","2","I’m going to cook dinner for now.","","chunk-audio/016-02.mp3"
"016-03","ビジネス","I’m going to …","…する予定です","3","I’m going to send the updated file this afternoon.","","chunk-audio/016-03.mp3"
"017-01","日常","I’m gonna …","…するつもり","1","I’m gonna grab some lunch. Want anything?","","chunk-audio/017-01.mp3"
"017-02","日常","I’m gonna …","…するつもり","2","I’m gonna stay home tonight, I think.","","chunk-audio/017-02.mp3"
"017-03","日常","I’m gonna …","…するつもり","3","I’m gonna call you when I arrive.","","chunk-audio/017-03.mp3"
"018-01","日常","I’m about to …","まさに…するところ","1","I’m about to leave the house now.","","chunk-audio/018-01.mp3"
"018-02","日常","I’m about to …","まさに…するところ","2","I’m about to start cooking dinner.","","chunk-audio/018-02.mp3"
"018-03","ビジネス","I’m about to …","まさに…するところ","3","I’m about to join the call, so I’ll message you later.","","chunk-audio/018-03.mp3"
"019-01","日常","I’m trying to …","…しようとしている","1","I’m trying to eat healthier these days.","","chunk-audio/019-01.mp3"
"019-02","日常","I’m trying to …","…しようとしている","2","I’m trying to find my keys, actually.","","chunk-audio/019-02.mp3"
"019-03","ビジネス","I’m trying to …","…しようとしている","3","I’m trying to understand the customer’s request.","","chunk-audio/019-03.mp3"
"020-01","日常","I’m thinking of …","…しようと考えている","1","I’m thinking of taking a day off next week.","","chunk-audio/020-01.mp3"
"020-02","日常","I’m thinking of …","…しようと考えている","2","I’m thinking of buying a new laptop.","","chunk-audio/020-02.mp3"
"020-03","ビジネス","I’m thinking of …","…しようと考えている","3","I’m thinking of suggesting a different approach.","","chunk-audio/020-03.mp3"
"021-01","日常","I’m looking for …","…を探しています","1","I’m looking for a quiet place to work.","","chunk-audio/021-01.mp3"
"021-02","日常","I’m looking for …","…を探しています","2","I’m looking for my glasses. Have you seen them?","","chunk-audio/021-02.mp3"
"021-03","ビジネス","I’m looking for …","…を探しています","3","I’m looking for the latest version of the file.","","chunk-audio/021-03.mp3"
"022-01","日常","I’m looking forward to …","…を楽しみにしています","1","I’m looking forward to seeing you this weekend.","","chunk-audio/022-01.mp3"
"022-02","日常","I’m looking forward to …","…を楽しみにしています","2","I’m looking forward to trying the new restaurant.","","chunk-audio/022-02.mp3"
"022-03","ビジネス","I’m looking forward to …","…を楽しみにしています","3","I’m looking forward to working with you.","","chunk-audio/022-03.mp3"
"023-01","日常","I’m interested in …","…に興味があります","1","I’m interested in learning how to cook.","","chunk-audio/023-01.mp3"
"023-02","日常","I’m interested in …","…に興味があります","2","I’m interested in that book, actually.","","chunk-audio/023-02.mp3"
"023-03","ビジネス","I’m interested in …","…に興味があります","3","I’m interested in hearing more about the project.","","chunk-audio/023-03.mp3"
"024-01","日常","I’m worried about …","…を心配しています","1","I’m worried about the weather tomorrow.","","chunk-audio/024-01.mp3"
"024-02","日常","I’m worried about …","…を心配しています","2","I’m worried about getting there on time.","","chunk-audio/024-02.mp3"
"024-03","ビジネス","I’m worried about …","…を心配しています","3","I’m worried about the deadline, to be honest.","","chunk-audio/024-03.mp3"
"025-01","日常","I’m not sure if …","…かどうか分かりません","1","I’m not sure if the store is open today.","","chunk-audio/025-01.mp3"
"025-02","日常","I’m not sure if …","…かどうか分かりません","2","I’m not sure if I can make it tonight.","","chunk-audio/025-02.mp3"
"025-03","ビジネス","I’m not sure if …","…かどうか分かりません","3","I’m not sure if this is the final version.","","chunk-audio/025-03.mp3"
"026-01","日常","I’m afraid …","残念ですが／心配ですが…","1","I’m afraid I can’t come tonight.","","chunk-audio/026-01.mp3"
"026-02","日常","I’m afraid …","残念ですが／心配ですが…","2","I’m afraid the restaurant is fully booked.","","chunk-audio/026-02.mp3"
"026-03","ビジネス","I’m afraid …","残念ですが／心配ですが…","3","I’m afraid we need more time to review it.","","chunk-audio/026-03.mp3"
"027-01","日常","I’m sorry, but …","申し訳ないのですが…","1","I’m sorry, but I’m running a little late.","","chunk-audio/027-01.mp3"
"027-02","日常","I’m sorry, but …","申し訳ないのですが…","2","I’m sorry, but I forgot your name.","","chunk-audio/027-02.mp3"
"027-03","ビジネス","I’m sorry, but …","申し訳ないのですが…","3","I’m sorry, but I need to reschedule our meeting.","","chunk-audio/027-03.mp3"
"028-01","日常","I mean …","つまり／というか","1","It was nice. I mean, the food was great.","","chunk-audio/028-01.mp3"
"028-02","日常","I mean …","つまり／というか","2","I mean, we could go tomorrow instead.","","chunk-audio/028-02.mp3"
"028-03","ビジネス","I mean …","つまり／というか","3","I mean, the plan needs a little more detail.","","chunk-audio/028-03.mp3"
"029-01","日常","I guess …","…かなと思います","1","I guess he’s still at work.","","chunk-audio/029-01.mp3"
"029-02","日常","I guess …","…かなと思います","2","I guess we should leave now.","","chunk-audio/029-02.mp3"
"029-03","ビジネス","I guess …","…かなと思います","3","I guess this is the best option for now.","","chunk-audio/029-03.mp3"
"030-01","日常","I suppose …","…だと思います","1","I suppose we can take a taxi.","","chunk-audio/030-01.mp3"
"030-02","日常","I suppose …","…だと思います","2","I suppose it will rain later.","","chunk-audio/030-02.mp3"
"030-03","ビジネス","I suppose …","…だと思います","3","I suppose we need approval before we proceed.","","chunk-audio/030-03.mp3"
"031-01","日常","I think …","…だと思います","1","I think this one looks better.","","chunk-audio/031-01.mp3"
"031-02","日常","I think …","…だと思います","2","I think I left my wallet at home.","","chunk-audio/031-02.mp3"
"031-03","ビジネス","I think …","…だと思います","3","I think we should discuss this first.","","chunk-audio/031-03.mp3"
"032-01","日常","I don’t think …","…ではないと思います","1","I don’t think he knows about it.","","chunk-audio/032-01.mp3"
"032-02","日常","I don’t think …","…ではないと思います","2","I don’t think it’s going to rain.","","chunk-audio/032-02.mp3"
"032-03","ビジネス","I don’t think …","…ではないと思います","3","I don’t think this deadline is realistic.","","chunk-audio/032-03.mp3"
"033-01","日常","In my opinion, …","私の意見では…","1","In my opinion, this movie is worth watching.","","chunk-audio/033-01.mp3"
"033-02","日常","In my opinion, …","私の意見では…","2","In my opinion, it’s a little too expensive.","","chunk-audio/033-02.mp3"
"033-03","ビジネス","In my opinion, …","私の意見では…","3","In my opinion, we should focus on quality first.","","chunk-audio/033-03.mp3"
"034-01","日常","To be honest, …","正直に言うと…","1","To be honest, I’m a little tired.","","chunk-audio/034-01.mp3"
"034-02","日常","To be honest, …","正直に言うと…","2","To be honest, I don’t really like spicy food.","","chunk-audio/034-02.mp3"
"034-03","ビジネス","To be honest, …","正直に言うと…","3","To be honest, I need more time to decide.","","chunk-audio/034-03.mp3"
"035-01","日常","As far as I know, …","私の知る限り…","1","As far as I know, the shop closes at eight.","","chunk-audio/035-01.mp3"
"035-02","日常","As far as I know, …","私の知る限り…","2","As far as I know, she lives nearby.","","chunk-audio/035-02.mp3"
"035-03","ビジネス","As far as I know, …","私の知る限り…","3","As far as I know, the client approved the plan.","","chunk-audio/035-03.mp3"
"036-01","日常","If you ask me, …","私に言わせれば…","1","If you ask me, this color looks best.","","chunk-audio/036-01.mp3"
"036-02","日常","If you ask me, …","私に言わせれば…","2","If you ask me, we should take the train.","","chunk-audio/036-02.mp3"
"036-03","ビジネス","If you ask me, …","私に言わせれば…","3","If you ask me, the simpler plan is better.","","chunk-audio/036-03.mp3"
"037-01","日常","The thing is, …","実は…","1","The thing is, I don’t have enough cash.","","chunk-audio/037-01.mp3"
"037-02","日常","The thing is, …","実は…","2","The thing is, I already made plans tonight.","","chunk-audio/037-02.mp3"
"037-03","ビジネス","The thing is, …","実は…","3","The thing is, we haven’t received the data yet.","","chunk-audio/037-03.mp3"
"038-01","日常","It depends.","場合によります","1","It depends on the weather, actually.","","chunk-audio/038-01.mp3"
"038-02","日常","It depends.","場合によります","2","It depends on how much time we have.","","chunk-audio/038-02.mp3"
"038-03","ビジネス","It depends.","場合によります","3","It depends on the client’s budget.","","chunk-audio/038-03.mp3"
"039-01","日常","That makes sense.","なるほど、もっともです","1","That makes sense. I didn’t think of that.","","chunk-audio/039-01.mp3"
"039-02","日常","That makes sense.","なるほど、もっともです","2","That makes sense. Let’s do it your way.","","chunk-audio/039-02.mp3"
"039-03","ビジネス","That makes sense.","なるほど、もっともです","3","That makes sense. We should check the data first.","","chunk-audio/039-03.mp3"
"040-01","日常","I see what you mean.","言いたいことは分かります","1","I see what you mean, but I still prefer this one.","","chunk-audio/040-01.mp3"
"040-02","日常","I see what you mean.","言いたいことは分かります","2","I see what you mean. It could be confusing.","","chunk-audio/040-02.mp3"
"040-03","ビジネス","I see what you mean.","言いたいことは分かります","3","I see what you mean, especially from the customer’s view.","","chunk-audio/040-03.mp3"
"041-01","日常","How about …?","…はどう？","1","How about lunch around noon?","","chunk-audio/041-01.mp3"
"041-02","日常","How about …?","…はどう？","2","How about taking a short break first?","","chunk-audio/041-02.mp3"
"041-03","ビジネス","How about …?","…はどう？","3","How about meeting online instead?","","chunk-audio/041-03.mp3"
"042-01","日常","What about …?","…はどう？","1","What about Saturday afternoon?","","chunk-audio/042-01.mp3"
"042-02","日常","What about …?","…はどう？","2","What about your brother? Is he coming?","","chunk-audio/042-02.mp3"
"042-03","ビジネス","What about …?","…はどう？","3","What about sending a short summary first?","","chunk-audio/042-03.mp3"
"043-01","日常","Why don’t we …?","…しない？","1","Why don’t we get coffee after lunch?","","chunk-audio/043-01.mp3"
"043-02","日常","Why don’t we …?","…しない？","2","Why don’t we watch a movie tonight?","","chunk-audio/043-02.mp3"
"043-03","ビジネス","Why don’t we …?","…しない？","3","Why don’t we discuss this tomorrow morning?","","chunk-audio/043-03.mp3"
"044-01","日常","Why not …?","…したらどう？","1","Why not try it once?","","chunk-audio/044-01.mp3"
"044-02","日常","Why not …?","…したらどう？","2","Why not ask her directly?","","chunk-audio/044-02.mp3"
"044-03","ビジネス","Why not …?","…したらどう？","3","Why not add that point to the agenda?","","chunk-audio/044-03.mp3"
"045-01","日常","Let’s …","…しよう","1","Let’s meet at the station at six.","","chunk-audio/045-01.mp3"
"045-02","日常","Let’s …","…しよう","2","Let’s take a break for now.","","chunk-audio/045-02.mp3"
"045-03","ビジネス","Let’s …","…しよう","3","Let’s go over the schedule once more.","","chunk-audio/045-03.mp3"
"046-01","日常","Let me …","私に…させて","1","Let me check the map first.","","chunk-audio/046-01.mp3"
"046-02","日常","Let me …","私に…させて","2","Let me help you with that.","","chunk-audio/046-02.mp3"
"046-03","ビジネス","Let me …","私に…させて","3","Let me confirm the details and get back to you.","","chunk-audio/046-03.mp3"
"047-01","日常","What if …?","もし…だったら？","1","What if it rains tomorrow?","","chunk-audio/047-01.mp3"
"047-02","日常","What if …?","もし…だったら？","2","What if we miss the last train?","","chunk-audio/047-02.mp3"
"047-03","ビジネス","What if …?","もし…だったら？","3","What if the client asks for more changes?","","chunk-audio/047-03.mp3"
"048-01","日常","Are you going to …?","…する予定？","1","Are you going to the party tonight?","","chunk-audio/048-01.mp3"
"048-02","日常","Are you going to …?","…する予定？","2","Are you going to cook dinner?","","chunk-audio/048-02.mp3"
"048-03","ビジネス","Are you going to …?","…する予定？","3","Are you going to attend the conference next week?","","chunk-audio/048-03.mp3"
"049-01","日常","Have you ever …?","…したことある？","1","Have you ever been to Kyoto?","","chunk-audio/049-01.mp3"
"049-02","日常","Have you ever …?","…したことある？","2","Have you ever tried Thai food?","","chunk-audio/049-02.mp3"
"049-03","ビジネス","Have you ever …?","…したことある？","3","Have you ever worked with this tool before?","","chunk-audio/049-03.mp3"
"050-01","日常","Do you happen to know …?","もしかして…を知っていますか？","1","Do you happen to know where the restroom is?","","chunk-audio/050-01.mp3"
"050-02","日常","Do you happen to know …?","もしかして…を知っていますか？","2","Do you happen to know what time it starts?","","chunk-audio/050-02.mp3"
"050-03","ビジネス","Do you happen to know …?","もしかして…を知っていますか？","3","Do you happen to know who owns this task?","","chunk-audio/050-03.mp3"
"051-01","日常","What do you think?","どう思う？","1","I like this jacket. What do you think?","","chunk-audio/051-01.mp3"
"051-02","日常","What do you think?","どう思う？","2","We could leave early. What do you think?","","chunk-audio/051-02.mp3"
"051-03","ビジネス","What do you think?","どう思う？","3","This is the latest draft. What do you think?","","chunk-audio/051-03.mp3"
"052-01","日常","How was …?","…はどうだった？","1","How was your trip?","","chunk-audio/052-01.mp3"
"052-02","日常","How was …?","…はどうだった？","2","How was the movie, by the way?","","chunk-audio/052-02.mp3"
"052-03","ビジネス","How was …?","…はどうだった？","3","How was the meeting with the client?","","chunk-audio/052-03.mp3"
"053-01","日常","What happened?","何があったの？","1","You look upset. What happened?","","chunk-audio/053-01.mp3"
"053-02","日常","What happened?","何があったの？","2","What happened? You’re late today.","","chunk-audio/053-02.mp3"
"053-03","ビジネス","What happened?","何があったの？","3","What happened with the delivery?","","chunk-audio/053-03.mp3"
"054-01","日常","What’s going on?","どうしたの？","1","What’s going on? Everyone is so quiet.","","chunk-audio/054-01.mp3"
"054-02","日常","What’s going on?","どうしたの？","2","What’s going on? Is everything okay?","","chunk-audio/054-02.mp3"
"054-03","ビジネス","What’s going on?","どうしたの？","3","What’s going on with the website right now?","","chunk-audio/054-03.mp3"
"055-01","日常","Are you okay?","大丈夫？","1","You seem tired. Are you okay?","","chunk-audio/055-01.mp3"
"055-02","日常","Are you okay?","大丈夫？","2","Are you okay? That looked painful.","","chunk-audio/055-02.mp3"
"055-03","ビジネス","Are you okay?","大丈夫？","3","Are you okay with moving the deadline?","","chunk-audio/055-03.mp3"
"056-01","日常","Is everything okay?","すべて大丈夫ですか？","1","Is everything okay? You seem worried.","","chunk-audio/056-01.mp3"
"056-02","日常","Is everything okay?","すべて大丈夫ですか？","2","Is everything okay with your order?","","chunk-audio/056-02.mp3"
"056-03","ビジネス","Is everything okay?","すべて大丈夫ですか？","3","Is everything okay with the new system?","","chunk-audio/056-03.mp3"
"057-01","日常","That sounds great.","それはいいですね","1","That sounds great. I’d love to join.","","chunk-audio/057-01.mp3"
"057-02","日常","That sounds great.","それはいいですね","2","That sounds great. What time should we meet?","","chunk-audio/057-02.mp3"
"057-03","ビジネス","That sounds great.","それはいいですね","3","That sounds great. Let’s move forward with it.","","chunk-audio/057-03.mp3"
"058-01","日常","That works for me.","それで大丈夫です","1","Six o’clock? That works for me.","","chunk-audio/058-01.mp3"
"058-02","日常","That works for me.","それで大丈夫です","2","Meeting near the station works for me.","","chunk-audio/058-02.mp3"
"058-03","ビジネス","That works for me.","それで大丈夫です","3","Friday afternoon works for me, if it works for you.","","chunk-audio/058-03.mp3"
"059-01","日常","That’s up to you.","あなたに任せます","1","Pizza or pasta? That’s up to you.","","chunk-audio/059-01.mp3"
"059-02","日常","That’s up to you.","あなたに任せます","2","We can leave now, but that’s up to you.","","chunk-audio/059-02.mp3"
"059-03","ビジネス","That’s up to you.","あなたに任せます","3","The final design choice is up to you.","","chunk-audio/059-03.mp3"
"060-01","日常","It doesn’t matter.","どちらでも構いません","1","Either seat is fine. It doesn’t matter.","","chunk-audio/060-01.mp3"
"060-02","日常","It doesn’t matter.","どちらでも構いません","2","Tea or coffee? It doesn’t matter to me.","","chunk-audio/060-02.mp3"
"060-03","ビジネス","It doesn’t matter.","どちらでも構いません","3","The format doesn’t matter as long as it’s clear.","","chunk-audio/060-03.mp3"
"061-01","日常","No problem.","問題ないです","1","Can you wait five minutes? No problem.","","chunk-audio/061-01.mp3"
"061-02","日常","No problem.","問題ないです","2","Thanks for helping. No problem.","","chunk-audio/061-02.mp3"
"061-03","ビジネス","No problem.","問題ないです","3","I can revise it today. No problem.","","chunk-audio/061-03.mp3"
"062-01","日常","No worries.","気にしないで","1","Sorry I’m late. No worries.","","chunk-audio/062-01.mp3"
"062-02","日常","No worries.","気にしないで","2","I forgot to call you. No worries.","","chunk-audio/062-02.mp3"
"062-03","ビジネス","No worries.","気にしないで","3","Thanks for the late reply. No worries.","","chunk-audio/062-03.mp3"
"063-01","日常","Never mind.","気にしないで／やっぱりいいです","1","Never mind, I found my keys.","","chunk-audio/063-01.mp3"
"063-02","日常","Never mind.","気にしないで／やっぱりいいです","2","Can you help me? Oh, never mind.","","chunk-audio/063-02.mp3"
"063-03","ビジネス","Never mind.","気にしないで／やっぱりいいです","3","Never mind; I received the file already.","","chunk-audio/063-03.mp3"
"064-01","日常","Take your time.","ごゆっくりどうぞ","1","Take your time. I’m not in a hurry.","","chunk-audio/064-01.mp3"
"064-02","日常","Take your time.","ごゆっくりどうぞ","2","Take your time choosing your meal.","","chunk-audio/064-02.mp3"
"064-03","ビジネス","Take your time.","ごゆっくりどうぞ","3","Take your time reviewing it, if possible.","","chunk-audio/064-03.mp3"
"065-01","日常","Go ahead.","どうぞ","1","Is this seat free? — Go ahead.","","chunk-audio/065-01.mp3"
"065-02","日常","Go ahead.","どうぞ","2","You can start first. Go ahead.","","chunk-audio/065-02.mp3"
"065-03","ビジネス","Go ahead.","どうぞ","3","If you have a question, please go ahead.","","chunk-audio/065-03.mp3"
"066-01","日常","Sounds good.","いいですね","1","Let’s meet at seven. Sounds good.","","chunk-audio/066-01.mp3"
"066-02","日常","Sounds good.","いいですね","2","I’ll bring dessert. Sounds good.","","chunk-audio/066-02.mp3"
"066-03","ビジネス","Sounds good.","いいですね","3","I’ll send the notes after the call. Sounds good.","","chunk-audio/066-03.mp3"
"067-01","日常","I’ll get back to you.","また連絡します","1","I need to check my schedule. I’ll get back to you.","","chunk-audio/067-01.mp3"
"067-02","日常","I’ll get back to you.","また連絡します","2","Let me ask my family, and I’ll get back to you.","","chunk-audio/067-02.mp3"
"067-03","ビジネス","I’ll get back to you.","また連絡します","3","I’ll check with my team and get back to you tomorrow.","","chunk-audio/067-03.mp3"
"068-01","日常","I’ll let you know.","分かったら知らせます","1","I’ll let you know when I get home.","","chunk-audio/068-01.mp3"
"068-02","日常","I’ll let you know.","分かったら知らせます","2","I’ll let you know if my plans change.","","chunk-audio/068-02.mp3"
"068-03","ビジネス","I’ll let you know.","分かったら知らせます","3","I’ll let you know as soon as I have an update.","","chunk-audio/068-03.mp3"
"069-01","日常","If I were you, …","私があなたなら…します","1","If I were you, I’d take the earlier train.","","chunk-audio/069-01.mp3"
"069-02","日常","If I were you, …","私があなたなら…します","2","If I were you, I’d ask her directly.","","chunk-audio/069-02.mp3"
"069-03","ビジネス","If I were you, …","私があなたなら…します","3","If I were you, I’d confirm the deadline first.","","chunk-audio/069-03.mp3"
"070-01","日常","I used to …","以前はよく…していた","1","I used to live near this station.","","chunk-audio/070-01.mp3"
"070-02","日常","I used to …","以前はよく…していた","2","I used to play tennis every weekend.","","chunk-audio/070-02.mp3"
"070-03","ビジネス","I used to …","以前はよく…していた","3","I used to work in sales, actually.","","chunk-audio/070-03.mp3"
"071-01","ビジネス","I’m writing to …","…のためにご連絡しています","1","I’m writing to ask about your services.","","chunk-audio/071-01.mp3"
"071-02","ビジネス","I’m writing to …","…のためにご連絡しています","2","I’m writing to confirm our meeting time.","","chunk-audio/071-02.mp3"
"071-03","ビジネス","I’m writing to …","…のためにご連絡しています","3","I’m writing to share an update on the project.","","chunk-audio/071-03.mp3"
"072-01","ビジネス","I’m reaching out to …","…についてご連絡しています","1","I’m reaching out to discuss the next steps.","","chunk-audio/072-01.mp3"
"072-02","ビジネス","I’m reaching out to …","…についてご連絡しています","2","I’m reaching out to request your feedback.","","chunk-audio/072-02.mp3"
"072-03","ビジネス","I’m reaching out to …","…についてご連絡しています","3","I’m reaching out to see if you are available next week.","","chunk-audio/072-03.mp3"
"073-01","ビジネス","I’d like to ask about …","…について伺いたいです","1","I’d like to ask about the delivery schedule.","","chunk-audio/073-01.mp3"
"073-02","ビジネス","I’d like to ask about …","…について伺いたいです","2","I’d like to ask about the pricing options.","","chunk-audio/073-02.mp3"
"073-03","ビジネス","I’d like to ask about …","…について伺いたいです","3","I’d like to ask about your availability next month.","","chunk-audio/073-03.mp3"
"074-01","ビジネス","I’d like to discuss …","…について話し合いたいです","1","I’d like to discuss the budget for this project.","","chunk-audio/074-01.mp3"
"074-02","ビジネス","I’d like to discuss …","…について話し合いたいです","2","I’d like to discuss a possible timeline change.","","chunk-audio/074-02.mp3"
"074-03","ビジネス","I’d like to discuss …","…について話し合いたいです","3","I’d like to discuss this in more detail tomorrow.","","chunk-audio/074-03.mp3"
"075-01","ビジネス","I’d like to confirm …","…を確認したいです","1","I’d like to confirm the meeting location.","","chunk-audio/075-01.mp3"
"075-02","ビジネス","I’d like to confirm …","…を確認したいです","2","I’d like to confirm that you received my email.","","chunk-audio/075-02.mp3"
"075-03","ビジネス","I’d like to confirm …","…を確認したいです","3","I’d like to confirm the final number of attendees.","","chunk-audio/075-03.mp3"
"076-01","ビジネス","I’d like to follow up on …","…についてフォローアップします","1","I’d like to follow up on my previous email.","","chunk-audio/076-01.mp3"
"076-02","ビジネス","I’d like to follow up on …","…についてフォローアップします","2","I’d like to follow up on the invoice status.","","chunk-audio/076-02.mp3"
"076-03","ビジネス","I’d like to follow up on …","…についてフォローアップします","3","I’d like to follow up on the feedback from last week.","","chunk-audio/076-03.mp3"
"077-01","ビジネス","I was wondering if …","…していただけないかと思いまして","1","I was wondering if you could send the file again.","","chunk-audio/077-01.mp3"
"077-02","ビジネス","I was wondering if …","…していただけないかと思いまして","2","I was wondering if we could move the meeting.","","chunk-audio/077-02.mp3"
"077-03","ビジネス","I was wondering if …","…していただけないかと思いまして","3","I was wondering if you had any updates.","","chunk-audio/077-03.mp3"
"078-01","ビジネス","I was hoping you could …","…していただければと思っていました","1","I was hoping you could review this by Friday.","","chunk-audio/078-01.mp3"
"078-02","ビジネス","I was hoping you could …","…していただければと思っていました","2","I was hoping you could introduce me to the team.","","chunk-audio/078-02.mp3"
"078-03","ビジネス","I was hoping you could …","…していただければと思っていました","3","I was hoping you could clarify one point for me.","","chunk-audio/078-03.mp3"
"079-01","ビジネス","Could you please …?","…していただけますか？","1","Could you please send the agenda in advance?","","chunk-audio/079-01.mp3"
"079-02","ビジネス","Could you please …?","…していただけますか？","2","Could you please confirm the address?","","chunk-audio/079-02.mp3"
"079-03","ビジネス","Could you please …?","…していただけますか？","3","Could you please keep me updated on the progress?","","chunk-audio/079-03.mp3"
"080-01","ビジネス","Would you mind …ing?","…していただけますか？","1","Would you mind sharing the latest figures?","","chunk-audio/080-01.mp3"
"080-02","ビジネス","Would you mind …ing?","…していただけますか？","2","Would you mind checking the attachment?","","chunk-audio/080-02.mp3"
"080-03","ビジネス","Would you mind …ing?","…していただけますか？","3","Would you mind moving the meeting to Thursday?","","chunk-audio/080-03.mp3"
